SourcesPerBlock,TargetsPerBlock,TargetBlocksPerKernel,SmallClusterSize,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
5,20000,1000,1000,1.13978,1.02988,0.961641,0.959959,0.949109,0.942365,,,,
5,20000,1000,10000,1.14845,1.03212,0.956399,0.977789,0.946436,0.940542,,,,
5,20000,1000,100000,1.15166,1.03089,0.962261,0.96686,0.950048,0.935079,,,,
5,20000,10000,1000,1.15459,1.0221,0.960063,0.968887,0.948178,0.952321,,,,
5,20000,10000,10000,1.15693,1.04492,0.965213,0.961075,0.949573,0.942675,,,,
5,20000,10000,100000,1.14319,1.05291,0.960991,0.957258,0.945111,0.948587,,,,
5,20000,65535,1000,1.12527,1.04219,0.962758,0.952349,0.940808,0.947462,,,,
5,20000,65535,10000,1.11811,1.04286,0.95499,0.955014,0.947832,0.948252,,,,
5,20000,65535,100000,1.15627,1.02474,0.954265,0.95992,0.947774,0.947693,,,,
7,100,100,1000,1.02799,0.94648,0.919164,0.910944,0.907554,0.904018,,,,
7,100,100,10000,1.03052,0.94662,0.918409,0.910333,0.907006,0.904023,,,,
7,100,100,100000,1.02966,0.946568,0.918646,0.910181,0.907207,0.904349,,,,
7,100,1000,1000,1.02989,0.947017,0.918937,0.909936,0.906783,0.904148,,,,
7,100,1000,10000,1.07013,0.946601,0.918818,0.910464,0.907181,0.903786,,,,
7,100,1000,100000,1.02204,0.946609,0.918901,0.910339,0.907439,0.90407,,,,
7,100,10000,1000,1.02564,0.946666,0.918234,0.909876,0.906973,0.904406,,,,
7,100,10000,10000,1.02203,0.946306,0.918277,0.910114,0.907303,0.903895,,,,
7,100,10000,100000,1.03051,0.946616,0.918686,0.910592,0.90687,0.903899,,,,
7,100,65535,1000,1.05931,0.946738,0.919295,0.910405,0.907146,0.903892,,,,
7,100,65535,10000,1.03668,0.946613,0.919061,0.910096,0.907216,0.904266,,,,
7,100,65535,100000,1.02756,0.946893,0.918793,0.910409,0.90721,0.905075,,,,
7,1000,100,1000,1.03237,0.960258,0.943293,0.937125,0.942692,0.932266,,,,
7,1000,100,10000,1.0337,0.963218,0.94683,0.941665,0.943883,0.932333,,,,
7,1000,100,100000,1.07151,0.958511,0.952628,0.936953,0.933833,0.928501,,,,
7,1000,1000,1000,1.03004,0.958226,0.945369,0.942262,0.937549,0.935663,,,,
