SourcesPerBlock,TargetsPerBlock,BlockSize,SourceBlocksPerKernel,TargetBlocksPerKernel,iter0,iter1,iter2
10,1000,512,65535,1000,1.07094,0.964544,0.938089
10,1000,512,65535,65535,1.03806,0.972863,0.938526
10,10000,256,100,100,1.54209,1.32105,1.20829
10,10000,256,100,1000,1.54135,1.32168,1.20459
10,10000,256,100,65535,1.54982,1.31902,1.20989
10,10000,256,1000,100,1.54146,1.31428,1.1928
10,10000,256,1000,1000,1.54074,1.31436,1.18954
10,10000,256,1000,65535,1.55128,1.31355,1.19306
10,10000,256,65535,100,1.54856,1.3143,1.19274
10,10000,256,65535,1000,1.53746,1.3332,1.19507
10,10000,256,65535,65535,1.54304,1.31382,1.20182
10,10000,512,100,100,1.24763,1.10091,0.986855
10,10000,512,100,1000,1.25803,1.10816,0.979799
10,10000,512,100,65535,1.26705,1.10718,0.990125
10,10000,512,1000,100,1.23883,1.10059,0.971537
10,10000,512,1000,1000,1.26003,1.10411,0.977122
10,10000,512,1000,65535,1.24615,1.10469,0.971697
10,10000,512,65535,100,1.24916,1.10055,0.972964
10,10000,512,65535,1000,1.26796,1.1015,0.974833
10,10000,512,65535,65535,1.27031,1.10087,0.969765
10,20000,256,100,100,1.54228,1.32137,1.20398
10,20000,256,100,1000,1.53086,1.31472,1.2052
10,20000,256,100,65535,1.60605,1.32164,1.20797
10,20000,256,1000,100,1.548,1.33304,1.19277
10,20000,256,1000,1000,1.54475,1.31457,1.20181
10,20000,256,1000,65535,1.55668,1.31419,1.19298
10,20000,256,65535,100,1.53714,1.33314,1.19434
10,20000,256,65535,1000,1.55418,1.33285,1.23588
10,20000,256,65535,65535,1.5486,1.31331,1.19781
10,20000,512,100,100,1.2493,1.10758,0.982077
10,20000,512,100,1000,1.25323,1.10692,0.978027
10,20000,512,100,65535,1.27212,1.10673,0.990181
10,20000,512,1000,100,1.23946,1.08886,0.976389
10,20000,512,1000,1000,1.24979,1.10018,0.978962
10,20000,512,1000,65535,1.25084,1.09952,0.981321
10,20000,512,65535,100,1.24273,1.09957,0.973082
10,20000,512,65535,1000,1.24999,1.10196,0.97429
10,20000,512,65535,65535,1.26951,1.10114,0.968734
